,precision,recall,f1-score,support
battery,0.9953917050691244,0.9707865168539326,0.9829351535836177,445.0
biological,0.9467455621301775,0.9896907216494846,0.967741935483871,485.0
brown-glass,0.9446254071661238,0.9446254071661238,0.9446254071661238,307.0
cardboard,0.9894736842105263,0.9330024813895782,0.9604086845466155,403.0
clothes,0.996553209823352,0.9948387096774194,0.9956952216960826,2325.0
green-glass,0.9820359281437125,0.9969604863221885,0.9894419306184012,329.0
metal,0.979328165374677,0.9243902439024391,0.9510664993726474,410.0
paper,0.9635157545605307,0.9781144781144782,0.9707602339181286,594.0
plastic,0.8525754884547069,0.995850622406639,0.9186602870813397,482.0
shoes,0.9927685950413223,0.9836233367451381,0.9881748071979435,977.0
trash,0.9984662576687117,0.9340028694404591,0.9651593773165308,697.0
white-glass,0.9625668449197861,0.9574468085106383,0.96,376.0
accuracy,0.9745849297573436,0.9745849297573436,0.9745849297573436,0.9745849297573436
macro avg,0.9670038835468961,0.9669443901815433,0.9662224614984417,7830.0
weighted avg,0.9761864825558567,0.9745849297573436,0.974816020718888,7830.0
